record	YYYY	deaths	weapon	OECD	Iraq/Afghan
01792	1976	1	2	0	0
01801	1976	8	2	0	0
01802	1976	1	4	0	0
01808	1976	1	4	0	0
01815	1976	1	2	1	0
01816	1976	3	4	0	0
01821	1976	1	6	0	0
01826	1976	1	2	1	0
01837	1976	1	6	0	0
01841	1976	2	2	1	0
01851	1976	4	6	0	0
01860	1976	73	2	0	0
01865	1976	1	4	0	0
01872	1976	1	4	0	0
01877	1976	1	4	1	0
01884	1976	1	4	0	0
01901	1976	4	6	0	0
01905	1976	1	4	1	0
01908	1976	40	2	0	1
01912	1976	1	4	0	0
01914	1976	2	4	0	0
01917	1977	1	6	1	0
01920	1977	1	4	1	0
01923	1977	2	4	1	0
01924	1977	1	2	0	0
01930	1977	7	4	0	0
01932	1977	1	6	0	0
01939	1977	1	6	0	0
01948	1977	1	4	0	0
01949	1977	1	4	1	0
01953	1977	1	6	0	0
01962	1977	2	2	0	0
01968	1977	2	6	1	0
01975	1977	5	2	1	0
01978	1977	1	4	1	0
01991	1977	1	4	0	0
01993	1977	1	2	0	0
02012	1977	11	2	0	0
02013	1977	2	4	0	0
02036	1977	1	6	1	0
02044	1977	2	2	0	0
02056	1977	1	6	1	0
02057	1977	2	2	0	0
02075	1977	1	4	0	0
02084	1977	1	4	0	0
02089	1977	1	2	0	0
02090	1977	1	2	0	0
02093	1977	1	1	0	0
02095	1977	1	2	0	0
02109	1977	1	4	0	0
02114	1977	2	4	0	0
02118	1977	1	4	1	0
02121	1977	100	2	0	0
02124	1977	1	4	0	0
02126	1977	2	6	0	0
02132	1977	1	4	0	0
02137	1977	1	4	0	0
02146	1977	1	2	0	0
02149	1977	2	2	1	0
02154	1978	1	4	1	0
02169	1978	3	2	0	0
02182	1978	3	2	0	0
02184	1978	2	2	0	0
02190	1978	1	4	0	0
02191	1978	1	2	0	0
02204	1978	43	6	0	0
02209	1978	1	4	1	0
02216	1978	2	2	0	0
02219	1978	1	6	1	0
02228	1978	1	4	0	0
02229	1978	3	6	0	0
02230	1978	1	4	1	0
02233	1978	4	2	0	0
02236	1978	5	2	0	0
02237	1978	3	4	1	0
02240	1978	1	4	0	0
02242	1978	1	5	0	0
02248	1978	12	5	0	0
02249	1978	2	4	0	0
02251	1978	2	2	0	0
02253	1978	1	4	1	0
02257	1978	1	4	1	0
02259	1978	2	6	0	0
02265	1978	1	4	1	0
02269	1978	2	4	1	0
02272	1978	4	4	0	0
02278	1978	1	4	0	0
02281	1978	1	2	1	0
02292	1978	1	1	1	0
02310	1978	1	6	1	0
02315	1978	1	4	0	0
02317	1978	1	4	1	0
02327	1978	1	2	0	0
02334	1978	1	4	1	0
02335	1978	10	6	0	0
02336	1978	1	6	1	0
02342	1978	4	2	0	0
02343	1978	1	4	1	0
02360	1978	5	2	0	0
02362	1978	1	2	1	0
02368	1978	2	6	0	0
02370	1978	1	4	0	0
02371	1978	1	4	0	0
02377	1979	1	4	0	0
02380	1979	1	4	1	0
02381	1979	1	5	0	0
02382	1979	1	6	0	0
02385	1979	1	6	0	0
02387	1979	10	2	0	0
02390	1979	2	2	0	0
02395	1979	1	4	0	0
02396	1979	1	4	0	1
02412	1979	2	4	1	0
02413	1979	1	4	1	0
02414	1979	1	4	0	0
02416	1979	1	2	1	0
02430	1979	1	6	0	0
02431	1979	1	2	0	0
02432	1979	1	4	1	0
02439	1979	1	2	0	0
02440	1979	1	4	1	0
02441	1979	1	2	0	0
02444	1979	4	6	0	0
02450	1979	1	4	1	0
02452	1979	2	2	0	0
02454	1979	2	6	0	0
02458	1979	3	2	0	0
02459	1979	2	2	1	0
02460	1979	1	4	0	0
02464	1979	1	4	0	0
02465	1979	1	4	1	0
02472	1979	1	6	0	0
02473	1979	2	2	0	0
02491	1979	3	4	1	0
02501	1979	6	4	0	1
02505	1979	2	4	0	1
02506	1979	1	4	1	0
02510	1979	1	2	0	0
02513	1979	1	4	0	0
02514	1979	2	4	0	0
02522	1979	1	4	1	0
02523	1979	1	4	0	0
02528	1979	1	2	0	0
02529	1979	1	4	1	0
02530	1979	1	4	0	0
02537	1979	158	4	0	0
02543	1979	1	4	0	0
02549	1979	1	6	1	0
02554	1979	4	2	0	0
02557	1979	4	4	1	0
02561	1979	1	1	1	0
02562	1979	1	4	1	0
02570	1980	1	6	1	0
02576	1980	1	2	1	0
02580	1980	39	3	0	0
02581	1980	1	4	0	0
02583	1980	1	4	1	0
02591	1980	2	4	0	0
02593	1980	1	4	1	0
02597	1980	2	2	1	0
02599	1980	36	2	0	0
02603	1980	1	6	1	0
02608	1980	3	6	0	0
02610	1980	1	4	1	0
02612	1980	2	4	1	0
02616	1980	2	4	0	0
02617	1980	1	4	1	0
02622	1980	1	4	1	0
02625	1980	2	4	1	0
02632	1980	1	4	1	0
02633	1980	1	4	1	0
02639	1980	1	5	1	0
02640	1980	1	6	1	0
02648	1980	1	6	0	0
02652	1980	1	4	1	0
02654	1980	1	4	1	0
02658	1980	1	6	1	0
02666	1980	1	4	0	0
02667	1980	1	4	0	0
02672	1980	2	4	1	0
02673	1980	1	4	1	0
02676	1980	1	4	1	0
02677	1980	1	6	0	0
02679	1980	1	2	1	0
02680	1980	2	4	1	0
02682	1980	1	6	1	0
02683	1980	1	4	1	0
02684	1980	2	4	1	0
02697	1980	1	6	1	0
02700	1980	1	4	1	0
02703	1980	3	2	0	0
02704	1980	1	4	0	0
02713	1980	4	2	1	0
02720	1980	3	2	0	0
02738	1980	1	4	1	0
02744	1980	2	4	1	0
02745	1980	2	6	1	0
02747	1980	1	5	1	0
02752	1980	1	6	0	0
02755	1980	1	4	0	0
02763	1980	2	4	0	0
02764	1980	1	4	0	0
02765	1980	2	4	1	0
02774	1980	1	2	1	0
02775	1980	15	2	0	0
02779	1981	3	4	0	0
02783	1981	1	6	0	0
02791	1981	2	3	0	0
02799	1981	3	6	0	0
02812	1981	2	4	0	0
02814	1981	1	6	0	0
02815	1981	2	4	1	0
02817	1981	1	4	0	0
02818	1981	1	4	0	0
02856	1981	1	4	1	0
02875	1981	1	2	1	0
02879	1981	1	4	1	0
02886	1981	1	4	1	0
02893	1981	1	2	0	0
02899	1981	1	4	1	0
02904	1981	1	4	1	0
02907	1981	2	2	1	0
02909	1981	2	2	0	0
02911	1981	1	4	0	0
02920	1981	1	4	1	0
02921	1981	1	4	1	0
02941	1981	1	2	0	0
02942	1981	2	6	1	0
02957	1981	1	4	0	0
02970	1981	1	2	0	0
02975	1981	1	4	0	0
02977	1981	29	2	0	0
02978	1981	4	2	0	0
02979	1981	2	2	0	0
02980	1981	4	2	0	0
02986	1981	1	4	0	0
02987	1981	1	4	1	0
02989	1981	1	6	0	0
02992	1981	15	2	0	0
02995	1981	83	2	0	0
02999	1981	1	2	1	0
03005	1981	1	6	1	0
03007	1981	1	4	0	0
03010	1981	1	2	1	0
03012	1981	4	2	1	0
03013	1981	2	4	0	0
03047	1981	1	5	0	0
03049	1981	2	6	0	0
03055	1981	1	6	0	0
03057	1981	64	2	0	0
03063	1981	1	4	0	0
03065	1981	1	2	0	0
03069	1981	1	4	0	0
03071	1981	2	2	1	0
03073	1981	61	4	0	0
03085	1982	1	6	0	0
03091	1982	1	4	0	0
03093	1982	1	2	1	0
03099	1982	1	4	1	0
03112	1982	1	4	1	0
03122	1982	1	4	0	0
03130	1982	4	2	0	0
03134	1982	1	4	1	0
03135	1982	2	4	1	0
03141	1982	1	2	0	0
03146	1982	1	3	0	0
03147	1982	1	4	1	0
03150	1982	1	4	0	0
03151	1982	1	4	0	0
03156	1982	2	2	0	0
03157	1982	5	2	1	0
03168	1982	1	4	1	0
03169	1982	1	3	1	0
03175	1982	2	4	0	0
03181	1982	1	6	0	0
03182	1982	2	4	0	0
03189	1982	1	2	1	0
03194	1982	1	4	1	0
03208	1982	1	4	1	0
03220	1982	14	2	0	0
03242	1982	1	4	0	0
03245	1982	2	4	1	0
03257	1982	2	2	0	0
03259	1982	1	4	1	0
03260	1982	1	2	1	0
03293	1982	1	2	1	0
03294	1982	6	6	0	0
03304	1982	1	6	0	0
03316	1982	9	2	1	0
03320	1982	6	2	1	0
03324	1982	1	2	1	0
03332	1982	2	6	0	0
03339	1982	1	2	0	0
03343	1982	1	2	0	0
03344	1982	2	2	1	0
03347	1982	1	4	0	0
03351	1982	1	4	1	0
03359	1982	1	6	0	0
03369	1982	1	2	1	0
03377	1982	1	4	0	0
03378	1982	6	2	0	0
03379	1982	1	2	1	0
03392	1982	1	5	1	0
03398	1982	1	6	0	0
03406	1982	3	2	0	1
03409	1982	1	4	1	0
03418	1982	3	2	0	0
03419	1982	1	2	0	0
03423	1982	1	2	1	0
03441	1983	45	2	0	0
03443	1983	2	6	0	0
03451	1983	20	2	0	0
03458	1983	3	4	0	0
03475	1983	1	2	1	0
03481	1983	1	2	0	1
03486	1983	2	4	0	0
03492	1983	1	2	0	0
03493	1983	1	2	0	0
03498	1983	1	2	0	0
03499	1983	1	4	0	0
03504	1983	1	6	0	0
03506	1983	1	2	0	0
03511	1983	1	6	0	0
03515	1983	1	4	1	0
03520	1983	60	2	0	0
03532	1983	1	6	1	0
03533	1983	7	2	1	0
03535	1983	3	2	0	0
03553	1984	2	6	0	0
03554	1984	1	4	0	0
03562	1985	1	4	1	0
03563	1985	2	6	0	0
03566	1985	60	4	1	0
03569	1985	1	4	1	0
03571	1986	1	4	0	0
03585	1988	100	3	0	0
03588	1988	1	6	0	0
03590	1988	2	2	0	0
03594	1988	1	4	0	0
03596	1988	1	4	1	0
03602	1983	1	4	0	0
03610	1983	2	6	0	0
03611	1983	1	4	0	0
03615	1983	2	2	0	0
03616	1983	1	4	1	0
03617	1983	3	2	0	0
03620	1983	2	2	1	0
03624	1983	7	2	0	0
03631	1983	5	6	0	0
03637	1983	2	6	0	0
03653	1983	2	4	1	0
03658	1983	1	4	1	0
03660	1983	2	3	1	0
03670	1983	1	4	1	0
03671	1983	2	6	0	0
03674	1983	2	2	1	0
03693	1983	1	2	0	0
03694	1983	1	4	1	0
03697	1983	1	2	1	0
03699	1983	21	2	0	0
03714	1983	39	2	0	0
03720	1983	1	4	1	0
03727	1983	2	4	1	0
03744	1983	6	2	0	0
03745	1983	6	2	0	0
03746	1983	1	2	0	0
03751	1983	15	2	0	0
03752	1983	4	2	0	0
03759	1983	1	4	1	0
03760	1983	1	4	1	0
03762	1983	2	2	1	0
03766	1984	1	4	0	0
03774	1984	1	6	0	0
03776	1984	1	4	1	0
03781	1984	3	4	0	0
03783	1984	1	6	1	0
03785	1984	2	4	1	0
03786	1984	1	4	1	0
03787	1984	2	6	1	0
03790	1984	1	6	0	0
03791	1984	1	6	0	0
03793	1984	1	4	1	0
03800	1984	1	4	1	0
03804	1984	3	2	0	0
03811	1984	5	2	0	0
03812	1984	1	4	0	0
03831	1984	1	6	0	0
03838	1984	6	2	0	0
03839	1984	1	4	1	0
03840	1984	3	2	0	0
03841	1984	1	4	1	0
03848	1984	1	4	0	0
03849	1984	1	6	1	0
03850	1984	1	4	0	0
03863	1984	3	2	0	0
03869	1984	2	2	0	0
03872	1984	1	4	0	0
03873	1984	5	2	0	0
03874	1984	2	2	0	0
03882	1984	1	4	0	0
03887	1984	1	4	1	0
03888	1984	1	2	1	0
03891	1984	1	4	1	0
03893	1984	1	6	0	0
03900	1984	2	4	1	0
03901	1984	1	1	1	0
03911	1984	10	2	0	0
03930	1984	1	6	1	0
03941	1984	3	2	1	0
03951	1984	1	6	1	0
03955	1984	23	2	0	0
03957	1984	1	6	1	0
03961	1984	1	4	1	0
03962	1984	1	6	1	0
03963	1984	1	6	0	0
03970	1984	5	6	0	0
03971	1984	2	2	0	0
03983	1984	1	4	0	0
03984	1984	1	4	1	0
03985	1984	1	2	0	0
03987	1984	1	4	0	0
03990	1984	1	4	0	0
03994	1984	2	4	1	0
04003	1984	1	4	1	0
04006	1984	1	6	1	0
04015	1984	1	4	0	0
04024	1984	1	6	0	0
04025	1984	1	2	1	0
04028	1984	1	4	1	0
04041	1985	2	4	0	0
04042	1985	1	4	1	0
04043	1985	2	6	0	0
04044	1985	2	5	0	0
04048	1985	1	2	0	0
04054	1985	1	3	0	0
04059	1985	1	2	0	0
04065	1985	30	3	0	0
04067	1985	1	2	0	0
04069	1985	1	2	1	0
04070	1985	3	6	0	0
04075	1985	1	6	1	0
04077	1985	2	6	0	0
04079	1985	80	2	0	0
04083	1985	12	2	0	0
04092	1985	1	2	1	0
04093	1985	1	6	0	0
04105	1985	1	4	0	0
04115	1985	1	6	0	0
04117	1985	1	4	0	0
04119	1985	1	6	1	0
04121	1985	1	6	0	0
04126	1985	1	4	1	0
04128	1985	2	6	0	0
04132	1985	1	4	0	0
04137	1985	1	4	1	0
04140	1985	2	2	0	0
04141	1985	1	6	0	0
04142	1984	18	2	1	0
04148	1985	1	4	0	0
04153	1985	1	6	0	0
04172	1985	1	4	0	0
04175	1985	5	6	0	0
04179	1985	1	2	0	0
04185	1985	1	2	0	0
04187	1985	1	6	0	0
04189	1985	5	2	0	0
04190	1985	2	2	0	0
04192	1985	1	6	0	0
04193	1985	1	4	0	0
04209	1985	1	4	1	0
04225	1985	3	2	1	0
04227	1985	13	4	0	0
04228	1985	2	2	1	0
04229	1985	2	6	0	0
04230	1985	329	2	1	0
04236	1985	1	4	1	0
04241	1985	1	2	1	0
04256	1985	1	2	1	0
04258	1985	11	2	0	0
04264	1985	1	2	0	0
04269	1985	1	6	0	0
04270	1985	1	2	1	0
04277	1985	1	4	1	0
04280	1985	2	2	0	0
04284	1985	2	6	0	0
04286	1985	1	2	0	0
04294	1985	1	6	1	0
04295	1985	2	2	1	0
04300	1985	2	2	0	0
04305	1985	1	6	1	0
04309	1985	1	6	1	0
04311	1985	1	4	0	0
04315	1985	1	6	0	0
04320	1985	1	6	0	0
04335	1985	1	5	0	0
04337	1985	1	2	0	0
04345	1985	21	2	0	0
04357	1985	1	4	1	0
04359	1985	1	6	0	0
04361	1985	1	4	0	0
04365	1985	4	6	1	0
04370	1985	2	6	1	0
04371	1985	3	6	0	0
04374	1985	1	4	0	0
04378	1985	1	4	0	0
04384	1985	1	4	0	0
04389	1985	2	6	1	0
04390	1985	1	6	0	0
04391	1985	1	6	0	0
04395	1985	2	4	0	0
04396	1985	1	6	0	0
04397	1985	8	4	0	0
04402	1985	1	3	0	0
04403	1985	5	4	0	0
04410	1985	6	2	0	0
04414	1985	2	6	0	0
04420	1985	1	4	1	0
04421	1985	2	2	0	0
04425	1985	1	2	0	0
04431	1985	1	4	0	0
04452	1985	16	2	1	0
04453	1985	3	2	1	0
04468	1986	1	6	1	0
04472	1986	3	4	0	0
04473	1986	1	4	0	0
04489	1986	1	4	0	0
04490	1986	5	6	0	0
04501	1986	5	2	0	0
04502	1986	1	4	1	0
04503	1986	2	6	0	0
04504	1986	1	6	0	0
04505	1986	1	6	0	0
04509	1986	2	4	0	0
04514	1986	60	2	0	0
04520	1986	1	2	0	0
04521	1986	1	4	0	0
04522	1986	1	6	0	0
04523	1986	1	2	0	0
04524	1986	2	2	1	0
04534	1986	4	2	0	0
04538	1986	2	6	0	0
04542	1986	4	2	1	0
04547	1986	1	2	0	0
04548	1986	3	2	1	0
04552	1986	2	2	0	0
04554	1986	12	2	0	0
04590	1986	1	6	1	0
04596	1986	1	4	0	0
04597	1986	1	4	0	0
04605	1986	1	5	0	0
04606	1986	21	2	0	0
04610	1986	1	6	0	0
04634	1986	1	2	0	0
04640	1986	5	2	0	0
04642	1986	1	6	1	0
04643	1986	1	2	0	0
04651	1986	10	2	0	0
04652	1986	7	2	0	0
04662	1986	1	4	1	0
04666	1986	1	2	0	0
04667	1986	2	6	0	0
04669	1986	10	2	0	0
04680	1986	1	4	0	0
04681	1986	1	2	0	0
04692	1986	2	2	0	0
04699	1986	1	6	0	0
04701	1986	1	2	1	0
04703	1986	1	2	0	0
04704	1986	2	5	0	0
04716	1986	3	2	0	0
04718	1986	19	4	0	0
04719	1986	24	4	1	0
04721	1986	2	2	1	0
04729	1986	1	2	0	0
04730	1986	1	2	1	0
04731	1986	1	2	0	0
04732	1986	5	2	0	0
04733	1986	1	4	0	0
04735	1986	1	2	1	0
04736	1986	5	2	1	0
04740	1986	1	4	0	0
04744	1986	1	6	0	0
04749	1986	3	2	0	1
04755	1986	1	2	0	0
04756	1986	1	2	0	0
04768	1986	1	2	1	0
04771	1986	5	4	0	0
04776	1986	1	4	1	0
04791	1986	1	6	0	0
04793	1986	8	2	0	0
04797	1986	1	2	0	0
04800	1986	1	4	1	0
04820	1986	1	2	1	0
04821	1986	69	2	0	1
04822	1986	1	4	0	0
04833	1987	1	4	1	0
04834	1987	1	6	1	0
04842	1987	1	6	1	0
04854	1987	3	2	0	0
04863	1987	4	2	0	1
04871	1987	1	2	1	0
04872	1987	10	2	0	0
04875	1987	1	2	0	0
04876	1987	1	4	0	0
04877	1987	2	6	1	0
04880	1987	8	2	1	0
04882	1987	2	6	0	0
04887	1987	25	2	0	0
04889	1987	11	2	0	0
04900	1987	3	2	0	0
04907	1987	1	6	0	0
04910	1987	1	4	0	0
04928	1987	1	6	0	1
04930	1987	1	2	1	0
04931	1987	1	2	0	0
04933	1989	1	6	0	0
04938	1989	2	6	0	0
04939	1989	1	2	0	0
04945	1991	1	4	0	0
04949	1991	1	6	0	0
04956	1991	1	6	0	0
04961	1988	1	4	0	0
04962	1988	14	2	0	0
04981	1990	2	2	0	0
04995	1990	3	6	0	0
04996	1990	1	2	0	0
04997	1990	1	6	0	0
05000	1990	1	4	0	0
05003	1990	1	6	1	0
05005	1990	2	6	0	0
05015	1991	1	5	0	0
05017	1991	1	5	0	0
05019	1991	1	4	1	0
05021	1991	2	6	0	0
